group,measurement
treatment,843.0166
treatment,494.8521
treatment,650.9938
treatment,615.9055
treatment,516.0419
treatment,504.0964
treatment,1106.4981
treatment,587.7212
treatment,849.0722
treatment,739.9122
treatment,669.8241
treatment,434.6227
treatment,949.1987
treatment,621.4388
treatment,819.406
treatment,937.0826
treatment,547.4156
treatment,888.2636
treatment,742.8811
treatment,811.8277
treatment,861.8738
treatment,1471.0896
treatment,526.0947
treatment,113.1801
treatment,964.4392
treatment,619.6831
treatment,797.9345
treatment,365.5784
treatment,1307.8964
treatment,958.7313
treatment,1145.7052
treatment,362.6291
treatment,358.9009
treatment,1075.5991
treatment,149.9205
treatment,754.2696
treatment,830.0522
treatment,457.622
treatment,639.5422
treatment,1051.0651
treatment,512.1306
treatment,881.7332
treatment,1152.5909
treatment,857.4696
treatment,778.7318
treatment,867.3014
treatment,594.4581
treatment,855.2787
treatment,570.2407
treatment,777.0986
treatment,1057.675
treatment,751.5838
treatment,350.4022
treatment,1131.38
treatment,646.0729
treatment,622.6083
treatment,494.0803
treatment,323.5901
treatment,749.4486
treatment,507.1326
treatment,508.71
treatment,29.7768
treatment,648.1514
treatment,424.0093
treatment,900.5873
treatment,569.7026
treatment,973.6739
treatment,365.5668
treatment,472.2283
treatment,638.8807
treatment,627.0874
treatment,163.595
treatment,975.2924
treatment,529.9081
treatment,211.4259
treatment,558.4914
treatment,958.2753
treatment,175.2149
treatment,937.9858
treatment,740.1576
treatment,623.0184
treatment,580.9932
treatment,790.3489
treatment,793.1723
treatment,853.1791
treatment,422.0491
treatment,601.7538
treatment,765.5187
treatment,930.9995
treatment,1032.9577
treatment,664.9558
treatment,1406.2363
treatment,513.2217
treatment,814.1232
treatment,745.1796
treatment,525.9106
treatment,986.471
treatment,865.7902
treatment,1184.8748
treatment,159.8509
treatment,626.1371
treatment,607.0131
treatment,742.9595
treatment,1085.3281
treatment,710.5114
treatment,637.4969
treatment,493.4425
treatment,313.4786
treatment,316.3932
treatment,983.3546
treatment,941.2737
treatment,684.0056
treatment,59.3286
treatment,794.4165
treatment,242.1124
treatment,822.3165
treatment,939.4305
treatment,686.6801
treatment,906.7959
treatment,424.2624
treatment,289.1253
treatment,462.5807
treatment,505.4165
treatment,642.9251
treatment,1129.2605
treatment,587.7416
treatment,136.6935
treatment,560.1679
treatment,609.9236
treatment,667.76
treatment,836.8256
treatment,613.4799
treatment,665.2426
treatment,511.226
treatment,363.3557
treatment,667.8052
treatment,616.4302
treatment,451.6919
treatment,362.4336
treatment,1311.8749
treatment,865.377
treatment,667.1916
treatment,561.0216
treatment,1068.1605
treatment,393.0224
treatment,681.8126
treatment,623.6003
treatment,611.7158
treatment,449.2739
treatment,695.7004
treatment,634.0415
treatment,12.3249
treatment,503.9444
treatment,328.3142
treatment,985.1808
treatment,709.9805
treatment,903.8152
treatment,573.5284
treatment,907.5539
treatment,844.9565
treatment,307.7474
treatment,778.5843
treatment,778.4047
treatment,483.1273
treatment,802.532
treatment,434.6728
treatment,748.7536
treatment,707.4594
treatment,1153.8602
treatment,1097.8711
treatment,501.0734
treatment,895.9462
treatment,1100.9542
treatment,251.3547
treatment,653.5145
treatment,485.8965
treatment,531.781
treatment,600.1088
treatment,880.9778
treatment,924.4576
treatment,996.257
treatment,546.7567
treatment,846.362
treatment,590.0933
treatment,743.959
treatment,8.8859
treatment,739.6643
treatment,559.499
treatment,974.3022
treatment,944.8481
treatment,871.3625
treatment,742.0617
treatment,755.3195
treatment,532.5519
treatment,964.8787
treatment,960.8819
treatment,602.7699
treatment,831.3342
treatment,492.995
treatment,917.5329
treatment,902.501
treatment,594.7135
treatment,1244.22
treatment,616.151
treatment,377.2732
treatment,1026.9462
treatment,728.8996
treatment,923.8387
treatment,914.9776
treatment,892.7886
treatment,289.7056
treatment,570.4382
treatment,431.4116
treatment,1056.542
treatment,503.84
treatment,1114.5548
treatment,842.3627
treatment,302.6067
treatment,716.7517
treatment,563.1039
treatment,580.3931
treatment,758.6895
treatment,547.5741
treatment,291.5443
treatment,829.6091
treatment,604.3563
treatment,390.2298
treatment,1028.8346
treatment,615.9562
treatment,546.135
treatment,741.933
treatment,498.7803
treatment,830.8621
treatment,599.8747
treatment,406.6135
treatment,330.6409
treatment,573.6631
treatment,556.9239
treatment,851.5539
treatment,701.2058
treatment,848.574
treatment,593.8416
treatment,983.5665
treatment,700.7193
treatment,766.5653
treatment,458.611
treatment,768.3226
treatment,285.9207
treatment,576.3986
treatment,455.4632
treatment,1041.7917
treatment,586.2169
treatment,719.5366
treatment,841.9496
treatment,521.7539
treatment,212.8781
treatment,910.1326
treatment,242.4243
treatment,953.3403
treatment,787.9062
treatment,529.3821
treatment,541.3776
treatment,454.7726
treatment,670.478
treatment,522.6749
treatment,806.5693
treatment,737.7498
treatment,468.771
treatment,500.3137
treatment,436.8203
treatment,784.19
treatment,1308.156
treatment,682.7601
treatment,784.9529
treatment,578.2569
treatment,267.4762
treatment,376.7742
treatment,417.8625
treatment,871.8438
treatment,861.8395
treatment,789.1149
treatment,447.1315
treatment,492.9716
treatment,875.2966
treatment,934.5408
treatment,728.1063
treatment,816.5
treatment,1032.9164
treatment,885.8265
treatment,1067.6241
treatment,600.2584
treatment,541.5755
treatment,926.4909
treatment,649.7867
treatment,596.7041
treatment,1219.6104
treatment,692.2255
treatment,395.932
treatment,575.2432
treatment,421.2072
treatment,361.4936
treatment,581.8871
treatment,610.1175
treatment,807.9523
treatment,1016.4661
treatment,514.8566
treatment,263.2126
treatment,760.4278
treatment,252.8756
treatment,603.8791
treatment,486.525
treatment,620.9916
treatment,556.6004
treatment,662.3812
treatment,772.8019
treatment,365.2437
treatment,4.5604
treatment,734.6582
treatment,776.2899
treatment,598.5915
treatment,476.7549
treatment,575.1688
treatment,896.4873
treatment,1140.8611
treatment,694.2719
treatment,743.014
treatment,929.4327
treatment,550.6109
treatment,473.763
treatment,982.0932
treatment,678.0529
treatment,297.527
treatment,638.019
treatment,353.0665
treatment,607.2915
treatment,709.5015
treatment,715.9606
treatment,711.7241
treatment,537.1384
treatment,708.3864
treatment,605.3115
treatment,493.5052
treatment,378.413
treatment,593.4221
treatment,275.6066
treatment,921.7442
treatment,381.5282
treatment,930.2996
treatment,419.3825
treatment,666.5053
treatment,598.1035
treatment,770.7571
treatment,621.8431
treatment,704.1639
treatment,494.4352
treatment,663.01
treatment,548.9864
treatment,467.1569
treatment,608.3041
treatment,331.9258
treatment,577.578
treatment,730.1176
